upc (ean),price,OriginalPrice,availability,sku,title
0194895573487,36,120,4,1130716,Columbia Bugaboo II Fleece Interchange Jacket - Boys' Warm Copper \u002F Black XS
0194895573548,36,120,3,1246685,Columbia Bugaboo II Fleece Interchange Jacket - Boys' Black Biconic \u002F Warm XXS
0194895573517,36,120,3,1246686,Columbia Bugaboo II Fleece Interchange Jacket - Boys' Black Biconic \u002F Warm XS
0194895573524,36,120,3,1246687,Columbia Bugaboo II Fleece Interchange Jacket - Boys' Black Biconic \u002F Warm S
0194895573531,36,120,3,1331900,Columbia Bugaboo II Fleece Interchange Jacket - Boys' Black Biconic \u002F Warm M
0194895573500,36,120,3,1331901,Columbia Bugaboo II Fleece Interchange Jacket - Boys' Black Biconic \u002F Warm L
0194895573555,36,120,2,1331902,Columbia Bugaboo II Fleece Interchange Jacket - Boys' Black Biconic \u002F Warm XL
0196013435516,97,139,1,1083056,The North Face Reversible Mossbud Parka - Girls' Wild Ginger M
0196013427306,104,149.99,1,1155056,The North Face Printed Reversible North Down Jacket - Girls' Fuschia Pink Dye S
0196013427603,104,149.99,1,1155058,The North Face Printed Reversible North Down Jacket - Girls' Fuschia Pink Dye XL
0196013427207,104,149.99,0,1155059,The North Face Printed Reversible North Down Jacket - Girls' Fuschia Pink Dye XS
0192636238534,97.3,139,1,1155489,Spyder Ambush Insulated Jacket - Toddler Novelty Grey 6
193855289185,33,110,1,694207,Columbia Katelyn Crest Jacket - Girls' Stone Green S
193855289192,33,110,2,694210,Columbia Katelyn Crest Jacket - Girls' Stone Green XL
0887921039940,33,110,2,1097593,Columbia Katelyn Crest Jacket - Girls' Black XS
0887921039957,33,110,0,1097594,Columbia Katelyn Crest Jacket - Girls' Black S
0192290983412,33,110,0,1127416,Columbia Katelyn Crest Jacket - Girls' Cypress M
0888458703380,13.5,45,0,1127484,Columbia Glennaker Rain Jacket - Boys' Hyper Blue S
0193553005087,33.75,45,1,1127490,Columbia Glennaker Rain Jacket - Boys' Shark \u002F Black XXS
0193553005049,33.75,45,1,1127491,Columbia Glennaker Rain Jacket - Boys' Shark \u002F Black M
0195978718139,35,50,2,1290836,Columbia Glennaker Rain Jacket - Boys' Bright Indigo XXS
0195978718122,35,50,0,1290837,Columbia Glennaker Rain Jacket - Boys' Bright Indigo XS
0195978718146,35,50,1,1290838,Columbia Glennaker Rain Jacket - Boys' Bright Indigo S
0195978718177,35,50,1,1290839,Columbia Glennaker Rain Jacket - Boys' Bright Indigo M
888458703540,12,40,0,427634,Columbia Glennaker Rain Jacket - Toddler Hyper Blue 2T
0195978716371,31.5,45,4,823914,Columbia Glennaker Rain Jacket - Toddler Bright Indigo 3T
0195978716364,31.5,45,1,823915,Columbia Glennaker Rain Jacket - Toddler Bright Indigo 4T
0193855334144,27,90,1,1127290,Columbia Horizon Ride Insulated Snowboard Jacket - Girls' Black Floral 3T
0193855334243,27,90,1,1127292,Columbia Horizon Ride Insulated Snowboard Jacket - Girls' Black Sparklers Print 3T
0193855334236,27,90,4,1127294,Columbia Horizon Ride Insulated Snowboard Jacket - Girls' Black Sparklers Print 2T
0192660317601,19.5,65,1,1132542,Columbia Humphrey Hills Puffer Jacket - Boys' Black 2T
