upc (ean),price,OriginalPrice,availability,sku,title
8.88665E+11,19.5,65,2,1128174,Columbia Titan Pass 1.0 Fleece Jacket - Women's Bright Geranium M
6.46055E+11,8.4,28,2,1160908,Everest Designs Brooklyn Beanie - Women's Rust One Size
1.95718E+11,25.8,86,1,1124426,Roxy Over And Out Fleece Shirt Jacket - Women's Toasted Nut L
1.93574E+11,18.6,62,1,1159069,Volcom Street Stone Fleece Quarter Zip - Women's Black XS
1.93574E+11,18.6,62,3,1159070,Volcom Street Stone Fleece Quarter Zip - Women's Black S
1.94894E+11,51,170,3,1138661,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Black L
1.94894E+11,51,170,1,1138662,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Black XL
1.94894E+11,51,170,0,1138663,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Black XXL
1.94894E+11,51,170,0,1138664,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Black M
1.94894E+11,51,170,2,1138670,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Malbec S
1.94894E+11,51,170,1,1138671,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Malbec XL
1.94894E+11,51,170,1,1138672,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Malbec M
1.94894E+11,51,170,1,1138674,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Malbec XXL
1.94894E+11,51,170,1,1138678,Columbia Joy Peak Omni-Heat Infinity Insulated Hooded Jacket - Women's Stone Green M
1.96134E+11,24,80,1,1151997,Volcom Layer Me Shacket - Women's Lavender L
1.94895E+11,66,220,1,1138534,Columbia Suttle Mountain II Insulated Jacket - Women's City Grey M
1.94895E+11,66,220,1,1138535,Columbia Suttle Mountain II Insulated Jacket - Women's City Grey S
1.94895E+11,66,220,0,1138536,Columbia Suttle Mountain II Insulated Jacket - Women's City Grey XL
1.94004E+11,66,220,2,1138540,Columbia Suttle Mountain II Insulated Jacket - Women's Black XS
1.94004E+11,66,220,0,1138543,Columbia Suttle Mountain II Insulated Jacket - Women's Chalk XS
1.94004E+11,66,220,1,1138544,Columbia Suttle Mountain II Insulated Jacket - Women's Chalk M
1.94004E+11,66,220,2,1138548,Columbia Suttle Mountain II Insulated Jacket - Women's Dark Nocturnal S
1.94005E+11,72,240,2,1138556,Columbia Suttle Mountain II Insulated Jacket - Women's Dark Nocturnal 1X
1.94005E+11,72,240,2,1138557,Columbia Suttle Mountain II Insulated Jacket - Women's Dark Nocturnal 3X
1.94005E+11,72,240,2,1138558,Columbia Suttle Mountain II Insulated Jacket - Women's Dark Nocturnal 2X
1.94005E+11,168,240,1,1138561,Columbia Suttle Mountain II Insulated Jacket - Women's Black 1X
1.94005E+11,72,240,1,1138562,Columbia Suttle Mountain II Insulated Jacket - Women's Malbec 3X
1.94895E+11,21,70,2,1139992,Columbia Park View Hooded Fleece Pullover - Women's Black Heather S
1.94895E+11,21,70,1,1139994,Columbia Park View Hooded Fleece Pullover - Women's Black Heather XL
1.94895E+11,21,70,3,1139997,Columbia Park View Hooded Fleece Pullover - Women's Black Heather M
1.94895E+11,21,70,3,1139998,Columbia Park View Hooded Fleece Pullover - Women's Dark Sapphire Heather M
1.94895E+11,21,70,2,1139999,Columbia Park View Hooded Fleece Pullover - Women's Dark Sapphire Heather S
1.94895E+11,21,70,2,1140001,Columbia Park View Hooded Fleece Pullover - Women's Dark Sapphire Heather L
1.94895E+11,21,70,0,1140002,Columbia Park View Hooded Fleece Pullover - Women's Dark Sapphire Heather XXL
1.94895E+11,21,70,2,1140003,Columbia Park View Hooded Fleece Pullover - Women's Blush Pink Heather M
1.94895E+11,21,70,1,1140005,Columbia Park View Hooded Fleece Pullover - Women's Blush Pink Heather XS
1.94895E+11,39,130,1,1244442,Columbia Sweet View Hooded Fleece Pullover - Women's Nocturnal XL
1.94895E+11,39,130,3,1245008,Columbia Sweet View Hooded Fleece Pullover - Women's Nocturnal S
1.94895E+11,39,130,1,1256976,Columbia Sweet View Hooded Fleece Pullover - Women's Nocturnal XS
1.94895E+11,39,130,3,1256977,Columbia Sweet View Hooded Fleece Pullover - Women's Nocturnal L
8.88555E+11,159.2,199,1,599997,Obermeyer The Bond Pant - Women's Black 6 Short
8.88555E+11,59.7,199,2,1158172,Obermeyer The Bond Pant - Women's Black 8 Short
